ano_publicacao_contrato;codigo_orgao_entidade_contratante;nome_orgao_entidade_contratante;nome_empresarial_nome_fornecedor;cnpj_cpf_fornecedor_formatado;nome_empresarial_nome_fornecedor_1;unnamed_6;tipo_pessoa_fornecedor;numero_processo_formatado;numero_contrato;indicador_termo_de_contrato;situacao_contrato;descricao_tipo_de_contrato;objeto_contrato;unnamed_14;unnamed_15;unnamed_16;unnamed_17;unnamed_18;unnamed_19;data_assinatura_contrato;data_inicio_vigencia_contrato;data_termino_vigencia_contrato;procedimento_contratacao_grupo;procedimento_contratacao_detalhamento_1;procedimento_contratacao_especializacao;contrato_termoaditivo_arquivos;valor_total_atualizado;valor_despesa_empenhada;valor_despesa_liquidada
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS - EPAMIG;17.138.140/0001-23;EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS - EPAMIG;;PESSOA JURÍDICA;1011014 000303/2024;9447123;SIM;Vigente publicado;Fornecimento;CTO/109/2024 - aquisição de café.;;;;;;;2025-01-06;2025-01-08;2027-01-08;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=192539;367681,6;367602,4;173710,0
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;EQS ENGENHARIA S.A.;80.464.753/0001-97;EQS ENGENHARIA S.A.;;PESSOA JURÍDICA;1011014 000060/2025;9478673;SIM;Vigente publicado;Serviço;CTO 38/2025 - serviços de manutenção predial preventiva e corretiva, de forma ininterrupta e continuada, englobando serviços de suporte técnico e operação das instalações e sistemas prediais civil, elétrico, eletromecânico, hidrossanitário, de telefonia, de refrigeração, de climatização, e de detecção e combate a incêndio nas edificações da Assembleia Legislativa do Estado de Minas Gerais, a serem executados com regime de dedicação exclusiva de mão de obra.;;;;;;;2025-09-24;2025-11-01;2026-11-01;Bens e serviços - Lei nº 14.133/21;Pregão;Pregão - Pregão eletrônico;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=198123;9431109,83;7941803,71;1774435,67
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;FHS LIVROS LTDA;45.546.237/0001-00;FHS LIVROS LTDA;;PESSOA JURÍDICA;1011014 000058/2025;9469658;SIM;Vigente publicado;Fornecimento;CTO/20/2025 - fornecimento de livros em formato impresso.;;;;;;;2025-05-30;2025-06-04;2026-06-04;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação - Por valor;Cotação eletrônica - adm direta, fundação ou autarquia;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=195606;45000,0;45000,0;24413,11
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;FLEXFORM INDUSTRIA E COMERCIO DE MOVEIS LTDA;49.058.654/0001-65;FLEXFORM INDUSTRIA E COMERCIO DE MOVEIS LTDA;;PESSOA JURÍDICA;1011014 000005/2025;9447948;SIM;Encerrado;Fornecimento;CTO/5/2025 - aquisição de 32 (trinta e duas) cadeiras giratórias, com braços.;;;;;;;2025-02-20;2025-02-24;2025-05-24;Bens e serviços - Lei nº 14.133/21;Registro de preços não realizado no SIRP;Registro de preços não realizado no SIRP;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=193442;37568,0;37568,0;37568,0
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;FLEXFORM INDUSTRIA E COMERCIO DE MOVEIS LTDA;49.058.654/0001-65;FLEXFORM INDUSTRIA E COMERCIO DE MOVEIS LTDA;;PESSOA JURÍDICA;1011014 000162/2025;9479111;SIM;Encerrado;Fornecimento;CTO 43/2025 - Aquisição de 171 (cento e setenta e uma) cadeiras giratórias de encosto médio, com braços.;;;;;;;2025-09-24;2025-09-26;2025-12-26;Bens e serviços - Lei nº 14.133/21;Registro de preços não realizado no SIRP;Registro de preços não realizado no SIRP;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=198355;187245,0;187245,0;187245,0
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;FLUXO MONTAGEM E MANUTENCAO ELETRICA LTDA;33.884.608/0001-85;FLUXO MONTAGEM E MANUTENCAO ELETRICA LTDA;;PESSOA JURÍDICA;1011014 000085/2025;9470205;SIM;Vigente publicado;Obra;CTO/28/2025 - instalação de bacias de contenção na base dos transformadores da subestação do Edifício Tiradentes.;;;;;;;2025-06-17;2025-06-20;2026-06-20;Obras e serviços de engenharia - Lei nº 14.133/21;Dispensa de Licitação - Por valor;Cotação eletrônica - adm direta, fundação ou autarquia;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=195918;13450,0;13450,0;13450,0
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;FULL - BROADCAST & AUDIO - LTDA;18.964.131/0001-54;FULL - BROADCAST & AUDIO - LTDA;;PESSOA JURÍDICA;1011014 000173/2024;9445956;SIM;Vencido;Serviço e Fornecimento;CTO/95/2024 - aquisição de equipamentos para a TV Assembleia.;;;;;;;2025-01-06;2025-01-08;2025-07-08;Bens e serviços - Lei nº 14.133/21;Pregão;Pregão - Pregão eletrônico;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=192309;170000,0;0,0;0,0
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;FULL - BROADCAST & AUDIO - LTDA;18.964.131/0001-54;FULL - BROADCAST & AUDIO - LTDA;;PESSOA JURÍDICA;1011014 000229/2024;9447122;SIM;Encerrado;Serviço e Fornecimento;CTO/106/2024 - aquisição de materiais de áudio e vídeo.;;;;;;;2025-01-17;2025-01-21;2025-09-18;Bens e serviços - Lei nº 14.133/21;Pregão;Pregão - Pregão eletrônico;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=192558;79717,0;79717,0;79717,0
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;FUNDACAO DE PESQUISA E ASSESSORAMENTO A INDUSTRIA;18.025.536/0001-27;FUNDACAO DE PESQUISA E ASSESSORAMENTO A INDUSTRIA;;PESSOA JURÍDICA;1011014 000073/2025;9469999;SIM;Vigente publicado;Serviço;CTO/22/2025 - Prestação de serviço de implantação de sistema em plataforma web e aplicativos para Android e IOS com recursos de atendimento on-line, processo eletrônico, compreendendo migração de dados, customização, treinamento, suporte e manutenção, conforme condições, quantidades e exigências estabelecidas neste instrumento.;;;;;;;2025-07-29;2025-07-31;2029-07-31;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Contratação de inst. de pesquisa, ensino, desenvol. inst., estímulo à inovaç;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=195744;2405272,3;883453,5;392545,4
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;GESMAQ COMERCIO E SERVICOS LTDA - ME;38.680.138/0001-51;GESMAQ COMERCIO E SERVICOS LTDA - ME;;PESSOA JURÍDICA;1011014 000034/2025;9460061;SIM;Vigente publicado;Serviço;CTO 16/2025 - Contratação de serviço de manutenção sob demanda, com remuneração por hora de serviço executado e o fornecimento de peças para equipamentos da gráfica;;;;;;;2025-04-29;2025-05-06;2027-05-06;Bens e serviços - Lei nº 14.133/21;Pregão;Pregão - Pregão eletrônico;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=194810;82232,2;51422,35;4011,61
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;GLOBALSEC TECNOLOGIA DA INFORMACAO LTDA;43.690.572/0001-52;GLOBALSEC TECNOLOGIA DA INFORMACAO LTDA;;PESSOA JURÍDICA;1011014 000026/2025;9452469;SIM;Vigente publicado;Serviço e Fornecimento;CTO/8/2025 - prestação de serviços de certificação digital para pessoa física e/ou jurídica.;;;;;;;2025-02-26;2025-02-28;2030-02-28;Bens e serviços - Lei nº 14.133/21;Registro de preços realizado no SIRP;Registro de preços realizado no SIRP;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=193814;35650,0;14987,5;2755,0
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;GREGOFAG CONSTRUCOES E REFORMAS LTDA;34.959.139/0001-89;GREGOFAG CONSTRUCOES E REFORMAS LTDA;;PESSOA JURÍDICA;1011014 000061/2025;9470135;SIM;Vencido;Obra;CTO/27/2025 - realização de obra para implantação de restaurante escola gastronômica do Serviço Nacional de Aprendizagem Comercial/MG - Senac MG.;;;;;;;2025-07-03;2025-07-07;2026-03-07;Obras e serviços de engenharia - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=195831;3511124,6;3511124,6;1210267,72
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;INFORMATICA EMPRESARIAL LTDA;32.850.497/0001-23;INFORMATICA EMPRESARIAL LTDA;;PESSOA JURÍDICA;1011014 000217/2025;9492486;SIM;Vencido;Serviço e Fornecimento;CTO/60/2025 - Aquisição de equipamento do tipo Servidor de Backup/Appliance, para execução de backups corporativos, bem como serviço de instalação.;;;;;;;2025-12-23;2025-12-24;2026-03-24;Bens e serviços - Lei nº 14.133/21;Registro de preços não realizado no SIRP;Registro de preços não realizado no SIRP;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=204918;1021712,91;1021712,91;0,0
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;INFRA JORNALISMO LTDA;27.553.286/0001-99;INFRA JORNALISMO LTDA;;PESSOA JURÍDICA;1011014 000003/2025;9447745;SIM;Vigente publicado;Serviço;CTO/3/2025 - contratação de empresa de fornecimento de boletins diários de notícias do setor de infraestrutura de transportes e de energia.;;;;;;;2025-02-13;2025-02-17;2027-02-17;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação - Por valor;Compra direta - adm direta, fundação ou autarquia;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=193195;31200,0;29900,0;16900,0
2025;1010;ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;JUSTINO DAVINO PERES - EPP;05.588.878/0001-03;JUSTINO DAVINO PERES - EPP;;PESSOA JURÍDICA;1011014 000011/2025;9453410;SIM;Vigente publicado;Fornecimento;CTO/10/2025 - aquisição de placas de homenagem.;;;;;;;2025-03-14;2025-03-18;2027-03-18;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação - Por valor;Cotação eletrônica - adm direta, fundação ou autarquia;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=193883;41888,0;37264,0;14144,0
